{adid},{idfa},{android_id},{idfv},{gps_adid},{tracker_name},{is_organic},{created_at},{network_name},{campaign_name},{adgroup_name},{creative_name},{revenue_usd},{uninstalled_at},{last_session_time}
de67f265207086452d1612debfe933a8,DBDEB650-DCB9-4A3B-BD2B-7A7DCAF385F3,,0C0461F2-94E1-4EB8-8E3B-14CE263A86AB,,Snapchat Installs::VIP Baloot_I_Both_LA (8b5b03f7-218a-4d69-93d9-06b3884019bc)::1399_SAXX_XX_Purchase(Similarity) (8be62de1-e361-46f5-b98b-9e330ce603a3)::SC_OS_ABuFahed_V2 (5e311dce-2888-43ce-889b-9ed98a4bc022),0,1600692812,Snapchat Installs,VIP Baloot_I_Both_LA (8b5b03f7-218a-4d69-93d9-06b3884019bc),1399_SAXX_XX_Purchase(Similarity) (8be62de1-e361-46f5-b98b-9e330ce603a3),SC_OS_ABuFahed_V2 (5e311dce-2888-43ce-889b-9ed98a4bc022),,,1600687266
f79654f395b2587f7727174c9df1e439,3AA61A2C-4299-4D91-BE62-0547DC63D392,,FD605C92-C277-4861-AA30-7CA5D8E021F4,,Organic,1,1600692812,Organic,,,,,,1600652130
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692843,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692843,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692844,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692846,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692845,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692846,SC RE,VIP_Baloot_I_M_RE,,,,,
f130d0f235948295e4ce91b3920bb2b9,78743046-75CD-44FF-9F97-C117F9689087,,823CF989-11E9-4417-8713-FDAEF3934DE1,,Apple Search Ads::Baloot - KSA (376267059)::Generic - Broad (391555911)::بلوت (391572986),0,1600692815,Apple Search Ads,Baloot - KSA (376267059),Generic - Broad (391555911),بلوت (391572986),,,1600655688
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692847,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
6d0f10d77ddae868e492864b8cfa4ce8,E6524B84-3B52-4D4D-9184-FF5E73A142E0,,91B2663F-82B6-4D8A-86FB-7A669EE4D418,,referralBaloot,0,1600692817,referralBaloot,,,,,,1600683998
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692846,SC RE,VIP_Baloot_I_M_RE,,,,,
d3fa53e306967d44706c2522ab75f965,1E2D07E9-A6E6-40D7-A619-4D2D1A82CABE,,68918852-2CDE-4007-8B69-7F430A522697,,Snapchat Installs::VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798)::iOS_1399_SAXX_XX_Broad (562c2c4a-afcb-4f39-b2f5-482354cc4807)::Ziyad (7) - iOS (35537984-8623-46ca-a8c3-30480db4d3af),0,1600692817,Snapchat Installs,VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798),iOS_1399_SAXX_XX_Broad (562c2c4a-afcb-4f39-b2f5-482354cc4807),Ziyad (7) - iOS (35537984-8623-46ca-a8c3-30480db4d3af),,,1600690180
7987c62ab17e33895d6f67567a870bc5,840802E6-B053-46E3-80A4-53DEC3DC15AA,,60DD2412-A15B-475B-BA3A-CAE01D3A13D1,,Organic,1,1600613077,Organic,,,,,,1600600537
c562b852c8dcf89acfd53f55058adcc5,AE3DAEEB-B5D8-48B0-82AD-CF101ED0B244,,771C80A5-BABC-470F-9468-0AA50C6901B1,,Snapchat Installs::VIP Baloot_I_Both_LA (8b5b03f7-218a-4d69-93d9-06b3884019bc)::1399_SAXX_XX_Purchase(Balance) (3bb2c09c-22b3-43f5-a7a8-9e279500271a)::Ziyad (1) - iOS (2becdb81-41cf-4a88-9e92-f0b25eaf68e5),0,1600692817,Snapchat Installs,VIP Baloot_I_Both_LA (8b5b03f7-218a-4d69-93d9-06b3884019bc),1399_SAXX_XX_Purchase(Balance) (3bb2c09c-22b3-43f5-a7a8-9e279500271a),Ziyad (1) - iOS (2becdb81-41cf-4a88-9e92-f0b25eaf68e5),,,1600689846
adf3119de9efa3c1a72b07205c713a8e,,,,7553ea08-b392-497c-93ec-4e74767a5648,Organic,1,1600692818,Organic,,,,,,1600674311
ae8c8be6b922f48c60195f151b709ca7,4770EA84-D85C-4594-9195-FBC6725C0E00,,C4FE1D4A-0792-4ACB-A393-7100B3A573A9,,Organic,1,1600692819,Organic,,,,,,1600681686
d29a44d586335599854f547deead41a9,74225096-6884-468F-AC5A-DF50FC75E726,,C4CE2D80-3500-42BB-A62D-4FB76B685B84,,Organic,1,1600692819,Organic,,,,,,1600666552
ed437b954a71805bb81e2476345047d2,ADE561E8-C350-4F27-ABFB-D74F36BB606B,,1A6DADC6-7FDA-4F8D-AAC5-6D292B04FD5D,,Organic,1,1600692820,Organic,,,,,,1600687754
472d544b801e16c175b9d3954e0457d4,4E6BB6B8-F97A-4363-BF60-A994EF90C935,,8DF1316D-B683-49C4-ADA2-DC7B5B142B4B,,Organic,1,1600692820,Organic,,,,,,1600684751
cb02692e4114c71fa3280032e6ed4086,B0007C8E-CB21-470E-875F-DA855BB5CA42,,CD663F83-D04A-4A7F-BA9E-86E05FD72007,,Organic,1,1600692819,Organic,,,,,,1600646688
88d3e07e242e87be81c2f030b55b9bab,8E6BDCDF-753C-4436-AAA1-8AED76FB53AC,,2A84874A-FDDF-4419-B36B-315ED96488D7,,Organic,1,1600692819,Organic,,,,,,1600585747
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692850,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
7987c62ab17e33895d6f67567a870bc5,840802E6-B053-46E3-80A4-53DEC3DC15AA,,60DD2412-A15B-475B-BA3A-CAE01D3A13D1,,Organic,1,1600692815,Organic,,,,,,1600613077
8124b5f8f801b6780ea2024e53006a46,751B986C-3AAE-45A9-8352-BAC7F1B9ACFA,,040529BC-B5C4-42B6-BD9F-49E9A4468230,,Organic,1,1600692821,Organic,,,,,,1600678205
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692850,SC RE,VIP_Baloot_I_M_RE,,,,,
4248ba84fb90f4e32a4e60f99ad03470,1933D8CC-0D6F-491C-85C7-40708DEE793B,,DF6482E7-B338-45B5-9B75-46FF822DAF82,,Organic,1,1600692821,Organic,,,,,,1600537956
001f9729e246486af456613d74485c1b,B1DEF17A-33AA-490C-A030-A41F1EB37E79,,B22D9617-0F06-400E-A8BF-1FE48D5E984D,,Organic,1,1600692821,Organic,,,,,,1600686800
28285c9d15f67e0701ff7c86e0e25453,AA8A2812-D6E1-4079-9259-533715268035,,5CB39E8A-0BC7-4DF6-9489-CFBD3B83D723,,Organic,1,1600692822,Organic,,,,,,1600685320
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692853,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692853,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692852,SC RE,VIP_Baloot_I_M_RE,,,,,
35576009e71a9b2d7cf5f77245ed8038,,,,98122465-6e40-4c3b-b2fd-e8761ac45797,Google Ads UAC::VIP Baloot_A_SAXX_V1_14/Oct - $1.00 (6810610486)::Search::GoogleSearch,0,1600692823,Google Ads UAC,VIP Baloot_A_SAXX_V1_14/Oct - $1.00 (6810610486),Search,GoogleSearch,,,1600679331
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692854,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692854,SC RE,VIP_Baloot_I_M_RE,,,,,
abd46a2dce97301abb326e653b8af5b1,A23F1A7C-3838-45D5-87DA-EFB81AEC0805,,6DB3C2CF-08FF-4D3C-BCF4-7EC947B6920A,,Apple Search Ads::Baloot - USA - RT (375416135)::Returning Users (375428940)::بلوت (422517943),0,1600692825,Apple Search Ads,Baloot - USA - RT (375416135),Returning Users (375428940),بلوت (422517943),,,1600615295
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692855,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692856,SC RE,VIP_Baloot_I_M_RE,,,,,
c244d8d57c8a80ed243f884862a258a7,,,,080163d5-4287-44d4-980b-2caefd0405b2,Organic,1,1600692826,Organic,,,,,,1600676119
d46fbd216f2a0c8c0d15f6f460c6b54e,E59B99E9-975C-416B-A1CE-B8A81CF0185B,,90B20BC6-61D9-476E-9CAB-CCB23BB7E6B8,,Organic,1,1600692827,Organic,,,,,,1600687446
2a790651ca278ad07167f462cd2b6a0b,,,,720d5036-011a-4c03-b27c-6e94dba7f704,Organic,1,1600692826,Organic,,,,,,1600643706
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692857,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692857,SC RE,VIP_Baloot_I_M_RE,,,,,
2df1ae48f051354b31cb79ca1f4e8c77,,,,15fcddd6-c4f9-4749-9cb5-a83260bb36d0,Organic,1,1600692827,Organic,,,,,,1600682774
